Track name,Artist name,Album name,Spotify ID,Spotify URL,Taste Match,Mood,Local Filename
Need To Feel Loved (Adam K & Soha Vocal Mix),Reflekt,Root,30cjLreSF4Xq0uAB89i2Ac,https://open.spotify.com/track/30cjLreSF4Xq0uAB89i2Ac,99%,Hypnotic Trance,Reflekt - Need To Feel Loved (Adam K & Soha Vocal Mix) FULL HD.mp3
Must Be The Love (Original Mix),"Arty, Nadia Ali & BT",Root,0EszN5bMG6yBcPNIg743Sm,https://open.spotify.com/track/0EszN5bMG6yBcPNIg743Sm,95%,Hypnotic Trance,"Arty, Nadia Ali & BT - Must Be The Love (Original Mix).mp3"
Because you loved me,Celine Dion,Root,2c4rr33mgGC4c9cWzqdYxN,https://open.spotify.com/track/2c4rr33mgGC4c9cWzqdYxN,94%,Retro Dance & Pop-Rock,Celine Dion - Because you loved me.mp3
Mr. Saxobeat,Alexandra Stan,Root,,,90%,Sunset Deep House,Alexandra Stan - Mr. Saxobeat - LYRICS.mp3
Spring (Blood Groove & Kikis Remix),Elvin Ong,Root,,,90%,Sunset Deep House,Elvin Ong - Spring (Blood Groove & Kikis Remix).mp3
Do It All Again Pascal Junior Remix MP3 downloads,MrProbz,Root,,,90%,Sunset Deep House,MrProbz - Do It All Again Pascal Junior Remix MP3 downloads _ www.MyFreeMp3.eu_2.MP3
BBC Essential Mix 2017 Deep Tech Indie Dance,Nora En Pure,Root,,,90%,Sunset Deep House,Nora En Pure - BBC Essential Mix 2017  Deep House  Tech House  Indie Dance.mp3
Prayer (Original Mix),Robin Schulz,Root,,,90%,Sunset Deep House,Robin Schulz - Prayer (Original Mix).mp3
Willst Du,Robin Schulz,Root,,,90%,Sunset Deep House,Robin Schulz  - Willst Du .mp3
Willst Du (Radio Mix),Robin Schulz & Alligatoah,Root,,,90%,Sunset Deep House,Robin Schulz & Alligatoah - Willst Du (Radio Mix).mp3
Earth Groove (Extended Mix),Vijay & Sofia Ft. Notte,Root,,,90%,Sunset Deep House,Vijay & Sofia Ft. Notte - Earth Groove (Extended Mix).mp3
Long Distance (Original mix),Adam K & Soha,Root,,,89%,Hypnotic Trance,Adam K & Soha - Long Distance (Original mix) -HD-.mp3
Who Cares Really (Original Mix),Adam K & Soha,Root,,,89%,Hypnotic Trance,Adam K & Soha - Who Cares Really (Original Mix) [HD].mp3
If you should go (Inpetto vs. Duderstadt remix),Armin Van Buuren ft. Susana,Root,,,89%,Hypnotic Trance,Armin Van Buuren ft. Susana - If you should go (Inpetto vs. Duderstadt remix).mp3
Fade Into Darkness (Vocal Radio Edit) mp3,Avicii,Root,,,89%,Gym / High Energy,Avicii - Fade Into Darkness (Vocal Radio Edit) mp3.MP3
Wake Me Up,Avicii,Root,,,89%,Gym / High Energy,Avicii - Wake Me Up.mp3
Back To The Pump (Original Mix),Benny Benassi,Root,,,89%,Gym / High Energy,Benny Benassi - Back To The Pump (Original Mix) www.powermuza.eu.mp3
Come Fly Away (Adam K & Soha remix),Benny Benassi,Root,,,89%,Hypnotic Trance,Benny Benassi - Come Fly Away (Adam K & Soha remix).mp3
Feel So Close,Calvin Harris,Root,,,89%,Gym / High Energy,Calvin Harris - Feel So Close.mp3
I'm Not Alone DEADMAU5 REMIX,Calvin Harris,Root,,,89%,Hypnotic Trance,Calvin Harris I'm Not Alone DEADMAU5 REMIX.mp3
stars come out new 2009!!!!!,Calvin Harris,Root,,,89%,Gym / High Energy,calvin harris stars come out new 2009!!!!!.mp3
Best Friend ft. Olivia,Cent,Root,,,89%,Gym / High Energy,50 Cent - Best Friend ft. Olivia.mp3
Don't Give Up,Chicane,Root,,,89%,Hypnotic Trance,Chicane - Don't Give Up.mp3
Limbo,Daddy Yankee,Root,,,89%,Gym / High Energy,Daddy Yankee-Limbo [myfreemp3.eu].mp3
Without You ft. Usher,David Guetta,Root,,,89%,Gym / High Energy,David Guetta - Without You ft. Usher.mp3
Love is Gone,David Guetta &amp; Chris Willis,Root,,,89%,Gym / High Energy,David Guetta &amp; Chris Willis - Love is Gone (Official Video).mp3
Sexy Chick,David Guetta Feat Akon,Root,,,89%,Gym / High Energy,David Guetta Feat Akon - Sexy Chick (Official Video).mp3
Memories ( videoclip),David Guetta feat Kid Cudi,Root,,,89%,Gym / High Energy,David Guetta feat Kid Cudi - Memories (Official videoclip).mp3
Play Hard [New Edit],David Guetta Feat Ne-Yo & Akon,Root,,,89%,Gym / High Energy,David Guetta Feat Ne-Yo & Akon - Play Hard [New Edit].mp3
Jaded (Original mix),Deadmau5,Root,,,89%,Hypnotic Trance,Deadmau5 - Jaded (Original mix).mp3
Right This Second,deadmau5,Root,,,89%,Hypnotic Trance,deadmau5 - Right This Second.mp3
Danza Kuduro ft. Lucenzo,Don Omar,Root,,,89%,Gym / High Energy,Don Omar - Danza Kuduro ft. Lucenzo.mp3
Waqt,Entity Paradigm (E.P.),Root,,,89%,Desi Soul & Sufi,E.P. Waqt.mp3
Niton (The Reason),Eric Prydz,Root,,,89%,Hypnotic Trance,Eric Prydz - Niton (The Reason) [Official Video HD].mp3
Pjanoo (New Ibiza 2008),Eric Prydz,Root,,,89%,Hypnotic Trance,Eric Prydz - Pjanoo (New Ibiza House 2008).mp3
Like A G6 ft. The Cataracs_ Dev,Far East Movement,Root,,,89%,Gym / High Energy,Far East Movement - Like A G6 ft. The Cataracs_ Dev.mp3
Praise You,Fatboy Slim,Root,,,89%,Gym / High Energy,Fatboy Slim - Praise You.mp3
Push The Tempo,Fatboy Slim,Root,,,89%,Gym / High Energy,Fatboy Slim - Push The Tempo.mp3
Put Your Hands Up For Detroit,Fedde Le Grand,Root,,,89%,Gym / High Energy,Fedde Le Grand - Put Your Hands Up For Detroit.mp3
Club Can't Handle Me,Flo Rida feat David Guetta,Root,,,89%,Gym / High Energy,Flo Rida feat David Guetta - Club Can't Handle Me.mp3
Contact (Paul Novy mashup),Glenn Morrison & Deadmau5,Root,,,89%,Hypnotic Trance,Glenn Morrison & Deadmau5 - Contact (Paul Novy mashup).mp3
Clothes Off!,Gym Class Heroes,Root,,,89%,Gym / High Energy,Gym Class Heroes -Clothes Off! Lyrics.mp3
Cupid's Chokehold,Gym Class Heroes,Root,,,89%,Gym / High Energy,Cupid's Chokehold [lyrics].mp3
