Track name,Artist name,Album name,Spotify ID,Spotify URL,Taste Match,Mood,Local Filename
Come With Me,Nora En Pure,2017 November,1Ht4NJdY8adMsW540P5vG0,https://open.spotify.com/track/1Ht4NJdY8adMsW540P5vG0,99%,Sunset Deep House,Nora En Pure - Come With Me.mp3
Come With Me (Satin Jackets Remix),Nora En Pure,2017 November,1Ht4NJdY8adMsW540P5vG0,https://open.spotify.com/track/1Ht4NJdY8adMsW540P5vG0,99%,Sunset Deep House,Nora En Pure - Come With Me (Satin Jackets Remix).mp3
Sokana Makana,Vijay & Sofia,2020 July,0ArTTqQ0eRCwiXCcyA46jk,https://open.spotify.com/track/0ArTTqQ0eRCwiXCcyA46jk,99%,Sunset Deep House,Vijay & Sofia - Sokana Makana.mp3
Sokana Makana (Ådå Afro Remix),Vijay & Sofia,2020 July,0ArTTqQ0eRCwiXCcyA46jk,https://open.spotify.com/track/0ArTTqQ0eRCwiXCcyA46jk,99%,Sunset Deep House,Vijay & Sofia - Sokana Makana (Ådå Afro House Remix).mp3
Perfect Strangers,Jonas Blue ft. JP Cooper,2016 December,1BUqLKA2wDKrA5VGNVNo2N,https://open.spotify.com/track/1BUqLKA2wDKrA5VGNVNo2N,97%,Sunset Deep House,Jonas Blue ft. JP Cooper - Perfect Strangers.mp3
jubel--video,Klingande,2016 June,50iiZEZm96c3SLZAhZfXBa,https://open.spotify.com/track/50iiZEZm96c3SLZAhZfXBa,97%,Sunset Deep House,klingande-jubel-official-video-hd[mp3freex].mp3
Till Dawn (feat. Audrey Janssens),Lexer,2017 Febuary,3fus3Mu9Q1KtJoVudfOY7b,https://open.spotify.com/track/3fus3Mu9Q1KtJoVudfOY7b,97%,Sunset Deep House,Lexer - Till Dawn (feat. Audrey Janssens).mp3
6 Days,"Mahmut Orhan, Colonel Bagshot",2018 August,5ilKR6ucV43TXQFLoLVpsb,https://open.spotify.com/track/5ilKR6ucV43TXQFLoLVpsb,97%,Sunset Deep House,"Mahmut Orhan, Colonel Bagshot - 6 Days [www.slider.kz].mp3"
No Man No Cry (Jimmy Sax Version),"Oliver Koletzki, Jimmy Sax",2018 August,426lDtGrejS1wga7gmAmDv,https://open.spotify.com/track/426lDtGrejS1wga7gmAmDv,97%,Sunset Deep House,"Oliver Koletzki, Jimmy Sax - No Man No Cry (Jimmy Sax Version) [www.slider.kz].mp3"
Holdin' On,Pascal Junior,2019 July,0MCZksPtemC2ZTS8yzKnrr,https://open.spotify.com/track/0MCZksPtemC2ZTS8yzKnrr,97%,Sunset Deep House,Pascal Junior - Holdin' On [www.slider.kz].mp3
Sugar (feat. Francesco Yates),Robin Schulz feat. Francesco Yates,2019 July,010pkr75M88nolpgOK3KP0,https://open.spotify.com/track/010pkr75M88nolpgOK3KP0,97%,Sunset Deep House,Robin Schulz feat. Francesco Yates - Sugar (feat. Francesco Yates) [www.slider.kz].mp3
Fast Car ft. River,Tobtok,2016 December,0zYKkOvUgOL8gceY8Eh1Wh,https://open.spotify.com/track/0zYKkOvUgOL8gceY8Eh1Wh,97%,Sunset Deep House,Tobtok - Fast Car ft. River.mp3
imany-vs-syntheticsax-you-will-never-know-ivan-spell-daniel-magre-reboot,Various Artists,2016 November,3hPk3yCkqQBUoxl5RnwiGF,https://open.spotify.com/track/3hPk3yCkqQBUoxl5RnwiGF,97%,Sunset Deep House,imany-vs-syntheticsax-you-will-never-know-ivan-spell-daniel-magre-reboot[mp3freex].mp3
Aleya,Vijay & Sofia,2020 July,3NyGXWv6mBCdXtFZRIDzeq,https://open.spotify.com/track/3NyGXWv6mBCdXtFZRIDzeq,97%,Sunset Deep House,Vijay & Sofia - Aleya.mp3
Aquadrops,Vijay & Sofia,2020 July,5BXWBYrH2eGbAN02whXD7Z,https://open.spotify.com/track/5BXWBYrH2eGbAN02whXD7Z,97%,Sunset Deep House,Vijay & Sofia - Aquadrops.mp3
Breathe,Vijay & Sofia,2020 July,0dwgRdKAQSRhKplopg6aaH,https://open.spotify.com/track/0dwgRdKAQSRhKplopg6aaH,97%,Sunset Deep House,Vijay & Sofia - Breathe.mp3
Hello,Vijay & Sofia,2020 July,3X8QRzvLn2S3xPVg7CmpmU,https://open.spotify.com/track/3X8QRzvLn2S3xPVg7CmpmU,97%,Sunset Deep House,Vijay & Sofia - Hello.mp3
Sunshine,Vijay & Sofia,2020 July,2MWcJ3kfKjfnJ8h8HePT15,https://open.spotify.com/track/2MWcJ3kfKjfnJ8h8HePT15,97%,Sunset Deep House,Vijay & Sofia - Sunshine.mp3
Take Me With You,Vijay & Sofia,2020 July,5zwSfemmqipIz1UXPE0ElM,https://open.spotify.com/track/5zwSfemmqipIz1UXPE0ElM,97%,Sunset Deep House,Vijay & Sofia - Take Me With You.mp3
The Silence Speaks,Vijay & Sofia,2020 July,3isM0GMCzZtZbklWeVYFCu,https://open.spotify.com/track/3isM0GMCzZtZbklWeVYFCu,97%,Sunset Deep House,Vijay & Sofia - The Silence Speaks.mp3
Fantasy (Felix Jaehn Remix),Alina Baraz,2020 April,20YOJ81BuTLbLcBCYnFmQ1,https://open.spotify.com/track/20YOJ81BuTLbLcBCYnFmQ1,96%,Sunset Deep House,Alina Baraz - Fantasy (Felix Jaehn Remix).mp3
She Moves (Mi Ka Remix),Alle Farben,2017 March,6ggAYREO7PlFwI2vbOG3dp,https://open.spotify.com/track/6ggAYREO7PlFwI2vbOG3dp,96%,Sunset Deep House,Alle Farben - She Moves (Mi Ka Remix).mp3
Dream (Original Mix),Autograf,2017 March,1RggBIp7p6x0lShTp2KvWp,https://open.spotify.com/track/1RggBIp7p6x0lShTp2KvWp,96%,Sunset Deep House,Autograf - Dream (Original Mix).mp3
Something New (Robin Schulz Remix),Axwell Λ Ingrosso,2017 Febuary,5C4NMi4fPpdFPnMZVsyG8H,https://open.spotify.com/track/5C4NMi4fPpdFPnMZVsyG8H,96%,Sunset Deep House,Axwell Λ Ingrosso - Something New (Robin Schulz Remix).mp3
Without You (Jon Bach Remix),Blood Groove & Kikis,2018 December,12SaLeLIHGo68hMDW4HzIp,https://open.spotify.com/track/12SaLeLIHGo68hMDW4HzIp,96%,Sunset Deep House,Blood Groove & Kikis - Without You (Jon Bach Remix) [www.slider.kz].mp3
Follow (Lizot Remix),Charming Horses ft. Jona Bird,2017 March,1R0240tvMsvpsa9coStGgP,https://open.spotify.com/track/1R0240tvMsvpsa9coStGgP,96%,Sunset Deep House,Charming Horses ft. Jona Bird - Follow (Lizot Remix).mp3
Starlight (Blood Groove & Kikis Remix),Claes Rosen,2019 January,00P5cJ8I9pNKkWXtHm6BDK,https://open.spotify.com/track/00P5cJ8I9pNKkWXtHm6BDK,96%,Sunset Deep House,Claes Rosen - Starlight (Blood Groove & Kikis Remix) [www.slider.kz].mp3
Moving Right (Juloboy Remix) [Media Blackout],Dana Jean Phoenix & Medsound,2018 August,1KemfAFRxQOBJ00AEuLzhg,https://open.spotify.com/track/1KemfAFRxQOBJ00AEuLzhg,96%,Sunset Deep House,Dana Jean Phoenix & Medsound - Moving Right (Juloboy Remix) [Media Blackout].mp3
Gotta Tell You (Original Mix) - Lion Bar,"Deepjack, Mr.Nu",2017 Febuary,2NHSYwGkAvPHzCinY0KwXo,https://open.spotify.com/track/2NHSYwGkAvPHzCinY0KwXo,96%,Sunset Deep House,"Deepjack, Mr.Nu - Gotta Tell You (Original Mix) - Lion Bar -.mp3"
Jolene (GAMPER & DADONI Remix),Dolly Parton,2016 June,6XzM8wBEznCteSOdeHMyTE,https://open.spotify.com/track/6XzM8wBEznCteSOdeHMyTE,96%,Sunset Deep House,Dolly Parton - Jolene (GAMPER & DADONI Remix).mp3
