Track name,Artist name,Album name,Spotify ID,Spotify URL,Taste Match,Mood,Local Filename
Exemption,Jan Martin,2018 September,13UfVeRCkCYeFJMImLiRmk,https://open.spotify.com/track/13UfVeRCkCYeFJMImLiRmk,99%,Hypnotic Trance,Jan Martin - Exemption [www.slider.kz].mp3
Exemption (Abstract Vision & Elite Electronic Remix),Jan Martin,2018 September,13UfVeRCkCYeFJMImLiRmk,https://open.spotify.com/track/13UfVeRCkCYeFJMImLiRmk,99%,Hypnotic Trance,Jan Martin - Exemption (Abstract Vision & Elite Electronic Remix) [www.slider.kz].mp3
Exemption (Abstract Vision and Elite Electronic Remix) [Enhanced Progressive],Jan Martin,2018 September,13UfVeRCkCYeFJMImLiRmk,https://open.spotify.com/track/13UfVeRCkCYeFJMImLiRmk,99%,Hypnotic Trance,Jan Martin - Exemption (Abstract Vision and Elite Electronic Remix) [Enhanced Progressive] [www.slider.kz].mp3
Need To Feel Loved (Adam K & Soha Vocal Mix),Reflekt,Root,30cjLreSF4Xq0uAB89i2Ac,https://open.spotify.com/track/30cjLreSF4Xq0uAB89i2Ac,99%,Hypnotic Trance,Reflekt - Need To Feel Loved (Adam K & Soha Vocal Mix) FULL HD.mp3
Need To Feel Loved (Chillion rework),Reflekt,2017 Febuary,30cjLreSF4Xq0uAB89i2Ac,https://open.spotify.com/track/30cjLreSF4Xq0uAB89i2Ac,99%,Hypnotic Trance,Reflekt - Need To Feel Loved (Chillion rework).mp3
Bella Monaco,Rex Mundi,2018 November,6aKtq5pTv4vgvr3X1ypR8U,https://open.spotify.com/track/6aKtq5pTv4vgvr3X1ypR8U,99%,Hypnotic Trance,Rex Mundi - Bella Monaco [www.slider.kz].mp3
Bella Monaco (Original Mix),Rex Mundi,2018 November,6aKtq5pTv4vgvr3X1ypR8U,https://open.spotify.com/track/6aKtq5pTv4vgvr3X1ypR8U,99%,Hypnotic Trance,Rex Mundi  -  Bella Monaco (Original Mix) [www.slider.kz].mp3
Ecstasy,ATB feat. Tiff Lacey,2018 September,2E09FnAzgoLEw8RzEJEEy9,https://open.spotify.com/track/2E09FnAzgoLEw8RzEJEEy9,96%,Hypnotic Trance,ATB feat. Tiff Lacey - Ecstasy  [www.slider.kz].mp3
The Veldt ( Kasual Edit),Deadmau5,2017 May,1GD5ooLHgV9nolrem1DBiB,https://open.spotify.com/track/1GD5ooLHgV9nolrem1DBiB,96%,Hypnotic Trance,Deadmau5 - The Veldt ( Kasual Edit).mp3
Hold Me Down,Jan Martin,2020 October,0RPOLKYY5KU20jVGOyFKx2,https://open.spotify.com/track/0RPOLKYY5KU20jVGOyFKx2,96%,Hypnotic Trance,Jan Martin - Hold Me Down.mp3
Loving You,Pryda,2017 November,3ivn6JLGUbrFbhETQ4oikh,https://open.spotify.com/track/3ivn6JLGUbrFbhETQ4oikh,96%,Hypnotic Trance,Pryda - Loving You .mp3
Night Breed,Pryda,2018 September,1lMEhRiT5Q1VSZOxZhuauo,https://open.spotify.com/track/1lMEhRiT5Q1VSZOxZhuauo,96%,Hypnotic Trance,Pryda - Night Breed.mp3
Passion (Original Mix),Aleksey Yakovlev & Cloudive,2020 October,2cod0JNBzF6ryxRCCmWGqA,https://open.spotify.com/track/2cod0JNBzF6ryxRCCmWGqA,95%,Hypnotic Trance,Aleksey Yakovlev & Cloudive - Passion (Original Mix).mp3
A New Beginning (original mix),Alex H,2018 December,0KmtdtrRxtwPsAZ4qRQF4P,https://open.spotify.com/track/0KmtdtrRxtwPsAZ4qRQF4P,95%,Hypnotic Trance,Alex H - A New Beginning (original mix) [www.slider.kz].mp3
Angel of the North,Alex H,2020 October,0jVKrZbbzCeiyzKj3xH0o6,https://open.spotify.com/track/0jVKrZbbzCeiyzKj3xH0o6,95%,Hypnotic Trance,Alex H - Angel of the North.mp3
Auf Wiedersehen (Original Mix),Alex H,2018 December,1JpbwMXGLY8o4NuvxLVh3B,https://open.spotify.com/track/1JpbwMXGLY8o4NuvxLVh3B,95%,Hypnotic Trance,Alex H - Auf Wiedersehen (Original Mix) [www.slider.kz].mp3
Blossom (Extended Mix),Alpha 9,2020 May,62BXx06p8PlxP9WlR6otS4,https://open.spotify.com/track/62BXx06p8PlxP9WlR6otS4,95%,Hypnotic Trance,Alpha 9 - Blossom (Extended Mix).mp3
Lily (CC533),Alpha 9,2020 May,60H45mR1HTEyAloAuBQ21x,https://open.spotify.com/track/60H45mR1HTEyAloAuBQ21x,95%,Hypnotic Trance,Alpha 9 - Lily (CC533).mp3
The Night Is Ours,Alpha 9,2020 May,4pElBNn0tiwxxTz2sntX5a,https://open.spotify.com/track/4pElBNn0tiwxxTz2sntX5a,95%,Hypnotic Trance,Alpha 9 - The Night Is Ours.mp3
In And Out Of Love (Lost Frequencies Remix),Armin van Buuren ft. Sharon den Adel,2017 March,1FzbOPWCZiNxnLjAhY1jAR,https://open.spotify.com/track/1FzbOPWCZiNxnLjAhY1jAR,95%,Hypnotic Trance,Armin van Buuren ft. Sharon den Adel - In And Out Of Love (Lost Frequencies Remix).mp3
Must Be The Love (Original Mix),"Arty, Nadia Ali & BT",Root,0EszN5bMG6yBcPNIg743Sm,https://open.spotify.com/track/0EszN5bMG6yBcPNIg743Sm,95%,Hypnotic Trance,"Arty, Nadia Ali & BT - Must Be The Love (Original Mix).mp3"
Must Be The Love (Radio Edit),"Arty, Nadia Ali & BT",2020 May,0EszN5bMG6yBcPNIg743Sm,https://open.spotify.com/track/0EszN5bMG6yBcPNIg743Sm,95%,Hypnotic Trance,"Arty, Nadia Ali & BT - Must Be The Love (Radio Edit).mp3"
Saffire (Original Mix]),Biologik,2020 April,2unVFVEHSenwJqtSMnKhF0,https://open.spotify.com/track/2unVFVEHSenwJqtSMnKhF0,95%,Hypnotic Trance,Biologik - Saffire (Original Mix].mp3
Stories (Verve Dub Mix]),Biologik,2020 April,13QiSxAB3ITHlrywpxhSsr,https://open.spotify.com/track/13QiSxAB3ITHlrywpxhSsr,95%,Hypnotic Trance,Biologik - Stories (Verve Dub Mix].mp3
MiddleDistanceRunner (Mihell & Pinkfinger Remix),Chicane,2016 June,38W1IohVo9EB2gaGIozGig,https://open.spotify.com/track/38W1IohVo9EB2gaGIozGig,95%,Hypnotic Trance,Chicane - MiddleDistanceRunner (Mihell & Pinkfinger Remix).mp3
Airwash (Original Mix]),Deepshader & Nazca,2020 April,1JDbUJLabd3yWAes9qk2cV,https://open.spotify.com/track/1JDbUJLabd3yWAes9qk2cV,95%,Hypnotic Trance,Deepshader & Nazca - Airwash (Original Mix].mp3
Constant Sorrow (Original Mix),Dinka,2016 June,4mWMW7XTEsK57CVTmIWvyq,https://open.spotify.com/track/4mWMW7XTEsK57CVTmIWvyq,95%,Hypnotic Trance,Dinka - Constant Sorrow (Original Mix).mp3
Where Has Your Love Gone (Aleksey Beloozerov Remix]),Fawn & Digital Sixable,2020 April,3GFrO9rgUVSZ8u8PqCxk8C,https://open.spotify.com/track/3GFrO9rgUVSZ8u8PqCxk8C,95%,Hypnotic Trance,Fawn & Digital Sixable - Where Has Your Love Gone (Aleksey Beloozerov Remix].mp3
Cross Winds (Richard Bass Remix),Gate Faze,2020 October,4KjK6wy54Mc7n7c3zixJST,https://open.spotify.com/track/4KjK6wy54Mc7n7c3zixJST,95%,Hypnotic Trance,Gate Faze - Cross Winds (Richard Bass Remix).mp3
Way Ahead of Me (Original Mix),Hysteria! & Jan Martin,2019 July,7h9dxnYfoP1q4rFZT0TEvW,https://open.spotify.com/track/7h9dxnYfoP1q4rFZT0TEvW,95%,Hypnotic Trance,Hysteria! & Jan Martin - Way Ahead of Me (Original Mix) [www.slider.kz].mp3
Only You (Alex H Remix)[PM],"James Lowndes, Paul Lowndes",2018 December,2fSp6Vfl5n68HVypQ5WoL8,https://open.spotify.com/track/2fSp6Vfl5n68HVypQ5WoL8,95%,Hypnotic Trance,"James Lowndes, Paul Lowndes - Only You (Alex H Remix)[PM] [www.slider.kz].mp3"
Progressive Soul,Kalsy,2018 December,1XCbbMW6DwpKHIKAhQ7xSs,https://open.spotify.com/track/1XCbbMW6DwpKHIKAhQ7xSs,95%,Hypnotic Trance,Kalsy - Progressive Soul [www.slider.kz].mp3
Wonderful People (Original Mix]),Kamron Schrader,2020 October,1dr9SqWoQsCq8wzuRbZIdB,https://open.spotify.com/track/1dr9SqWoQsCq8wzuRbZIdB,95%,Hypnotic Trance,Kamron Schrader - Wonderful People (Original Mix].mp3
Bonzai (Lumidelic Remix),Keith Harris,2020 October,68jCn3fm2SDBRcCTCX9Yg6,https://open.spotify.com/track/68jCn3fm2SDBRcCTCX9Yg6,95%,Hypnotic Trance,Keith Harris - Bonzai (Lumidelic Remix).mp3
The Last Stand (Biologik Remix]),Koda,2020 April,08HxWD0TUiBWPbqRYxCjkj,https://open.spotify.com/track/08HxWD0TUiBWPbqRYxCjkj,95%,Hypnotic Trance,Koda - The Last Stand (Biologik Remix].mp3
Evening Embrace (Lumidelic Remix),Leonety,2018 December,5cjnYXEz2XW3Wy8FZZ3v4Z,https://open.spotify.com/track/5cjnYXEz2XW3Wy8FZZ3v4Z,95%,Hypnotic Trance,Leonety - Evening Embrace (Lumidelic Remix) [www.slider.kz].mp3
Ever After (Hazem Beltagui's Sunset Mix),Lessov,2017 May,2vmdYfQh4RFEd2V69HKRNc,https://open.spotify.com/track/2vmdYfQh4RFEd2V69HKRNc,95%,Hypnotic Trance,Lessov - Ever After (Hazem Beltagui's Sunset Mix).mp3
Party Rock Anthem,LMFAO ft. Lauren Bennett & Goonrock,2018 June,0yI5rX9iTeOOzpHCpST8eX,https://open.spotify.com/track/0yI5rX9iTeOOzpHCpST8eX,95%,Hypnotic Trance,LMFAO ft. Lauren Bennett & Goonrock - Party Rock Anthem.mp3
If The Stars Could Speak (LTN Remix),LTN,2017 May,4b8BuloYTTv92mgyJazoeZ,https://open.spotify.com/track/4b8BuloYTTv92mgyJazoeZ,95%,Hypnotic Trance,LTN - If The Stars Could Speak (LTN Remix).mp3
Magic Garden (2018 Rework),Lumidelic,2018 December,3qf36vElzwAP8CyWDQlJhW,https://open.spotify.com/track/3qf36vElzwAP8CyWDQlJhW,95%,Hypnotic Trance,Lumidelic - Magic Garden (2018 Rework) [www.slider.kz].mp3
Synesthesia (Original Mix),Lumidelic,2018 December,5rwv9bFZrw2ywfKtvf5TMe,https://open.spotify.com/track/5rwv9bFZrw2ywfKtvf5TMe,95%,Hypnotic Trance,Lumidelic - Synesthesia (Original Mix) [www.slider.kz].mp3
Sayonara (original mix),Mango,2017 May,4kQgw42XXtflmarri3Od0d,https://open.spotify.com/track/4kQgw42XXtflmarri3Od0d,95%,Hypnotic Trance,Mango - Sayonara (original mix).mp3
Sunahama (Original Mix),Mango,2017 May,4SXSwG7Y9e708P3dyE7BOO,https://open.spotify.com/track/4SXSwG7Y9e708P3dyE7BOO,95%,Hypnotic Trance,Mango - Sunahama (Original Mix).mp3
Restless (Signalrunners Remix),Oliver,2017 May,3anaNa5x0b07Z4KUKkZ9ug,https://open.spotify.com/track/3anaNa5x0b07Z4KUKkZ9ug,95%,Hypnotic Trance,Oliver - Restless (Signalrunners Remix).mp3
Symmetry (Infinity State Remix]),Richard Bass,2020 October,3VDOvnz3MyGw2QBuOQpOeB,https://open.spotify.com/track/3VDOvnz3MyGw2QBuOQpOeB,95%,Hypnotic Trance,Richard Bass - Symmetry (Infinity State Remix].mp3
Wonderful Nights,Richard Bass & South Pole,2020 October,0cehZvfIRNkXFmFpIuvqed,https://open.spotify.com/track/0cehZvfIRNkXFmFpIuvqed,95%,Hypnotic Trance,Richard Bass & South Pole - Wonderful Nights.mp3
Last Sunset,Roald Velden,2019 April,4h9gG7vJ1ajiUsLJoAMQZk,https://open.spotify.com/track/4h9gG7vJ1ajiUsLJoAMQZk,95%,Hypnotic Trance,Roald Velden - Last Sunset [www.slider.kz].mp3
Without Regret (Original Mix),Roald Velden,2019 April,0Nuw5taw5s7gd76RDMcEHQ,https://open.spotify.com/track/0Nuw5taw5s7gd76RDMcEHQ,95%,Hypnotic Trance,Roald Velden - Without Regret (Original Mix) [www.slider.kz].mp3
Move On (Original Mix),Shingo,2016 June,6CSTZXJaLBAqGDiyhMENDt,https://open.spotify.com/track/6CSTZXJaLBAqGDiyhMENDt,95%,Hypnotic Trance,Shingo - Move On (Original Mix).mp3
Beautiful Change (Zan Prevee Dub Remix]),"SNR,Rikkaz, Jan Johnston",2020 April,3K3xNSl8qTZxUn3iX7uCnM,https://open.spotify.com/track/3K3xNSl8qTZxUn3iX7uCnM,95%,Hypnotic Trance,"SNR,Rikkaz, Jan Johnston - Beautiful Change (Zan Prevee Dub Remix].mp3"
More (LTN Extended Remix),Somna,2020 October,0jS9Y3DVAIxcYLzJlyau50,https://open.spotify.com/track/0jS9Y3DVAIxcYLzJlyau50,95%,Hypnotic Trance,Somna - More (LTN Extended Remix).mp3
About You (Original Mix]),Sound Quelle,2020 April,4AkbnzvZgoEuC1GOVNw9qb,https://open.spotify.com/track/4AkbnzvZgoEuC1GOVNw9qb,95%,Hypnotic Trance,Sound Quelle - About You (Original Mix].mp3
Antigua,Sunlight Project,2020 October,4JefheUixt5ZKDdkPlo1mk,https://open.spotify.com/track/4JefheUixt5ZKDdkPlo1mk,95%,Hypnotic Trance,Sunlight Project - Antigua.mp3
