Track name,Artist name,Album name,Spotify ID,Spotify URL,Taste Match,Mood,Local Filename
Broken Arrows,Avicii,2020 April,260jSxvzkFt71ksvkcy2ke,https://open.spotify.com/track/260jSxvzkFt71ksvkcy2ke,96%,Gym / High Energy,Avicii - Broken Arrows.mp3
Levels (Radio Edit),Avicii,2018 August,6Xe9wT5xeZETPwtaP2ynUz,https://open.spotify.com/track/6Xe9wT5xeZETPwtaP2ynUz,96%,Gym / High Energy,Avicii - Levels (Radio Edit) [www.slider.kz].mp3
Lonely Together,Avicii,2017 December,75NhhYjHO43mvZgYtnXgti,https://open.spotify.com/track/75NhhYjHO43mvZgYtnXgti,96%,Gym / High Energy,Avicii - Lonely Together.mp3
The Nights,Avicii,2018 August,0ct6r3EGTcMLPtrXHDvVjc,https://open.spotify.com/track/0ct6r3EGTcMLPtrXHDvVjc,96%,Gym / High Energy,Avicii - The Nights [www.slider.kz].mp3
Waiting For Love (original),Avicii,2018 August,2P4OICZRVAQcYAV2JReRfj,https://open.spotify.com/track/2P4OICZRVAQcYAV2JReRfj,96%,Gym / High Energy,Avicii - Waiting For Love (original) [www.slider.kz].mp3
You Make Me,Avicii,2017 December,52RK8UVEDgUAgpecOpTQM3,https://open.spotify.com/track/52RK8UVEDgUAgpecOpTQM3,96%,Gym / High Energy,Avicii - You Make Me.mp3
One Kiss,Calvin Harris & Dua Lipa,2018 June,5K4ihcq7sw3imhegdvz5gU,https://open.spotify.com/track/5K4ihcq7sw3imhegdvz5gU,96%,Gym / High Energy,03 - Calvin Harris & Dua Lipa - One Kiss.mp3
Lone Digger,Caravan Palace,2020 May,1TAC5SANfK7l6wGHtUQ7MX,https://open.spotify.com/track/1TAC5SANfK7l6wGHtUQ7MX,96%,Gym / High Energy,Caravan Palace - Lone Digger.mp3
Window Shopper,Cent,2020 July,3hwwIr2pcL2IWBpEUj5Hya,https://open.spotify.com/track/3hwwIr2pcL2IWBpEUj5Hya,96%,Gym / High Energy,50 Cent - Window Shopper.mp3
Gasolina,Daddy Yankee,2018 August,7hwk1C0AlOV27IWhAANBo1,https://open.spotify.com/track/7hwk1C0AlOV27IWhAANBo1,96%,Gym / High Energy,014 - Daddy Yankee - Gasolina.mp3
Rompe,Daddy Yankee,2018 August,4Xtlw8oXkIOvzV7crUBKeZ,https://open.spotify.com/track/4Xtlw8oXkIOvzV7crUBKeZ,96%,Gym / High Energy,Daddy Yankee - Rompe .mp3
Titanium (feat. Sia),David Guetta feat. Sia,2018 August,004cm4dIZxfnXp5nBUv5TS,https://open.spotify.com/track/004cm4dIZxfnXp5nBUv5TS,96%,Gym / High Energy,David Guetta feat. Sia - Titanium (feat. Sia) [www.slider.kz].mp3
Promises,Dubdogz,2020 April,1mM7gIijwtto0tUNvEyksB,https://open.spotify.com/track/1mM7gIijwtto0tUNvEyksB,96%,Gym / High Energy,Dubdogz - Promises.mp3
Pushing On,Oliver $,2020 May,2xO5HHSZq0LwWRNqtDKhFo,https://open.spotify.com/track/2xO5HHSZq0LwWRNqtDKhFo,96%,Gym / High Energy,Oliver $ - Pushing On.mp3
We Found Love ft. Calvin Harris,Rihanna,2017 April,2C7GTQqS60jTWFWAQY45js,https://open.spotify.com/track/2C7GTQqS60jTWFWAQY45js,96%,Gym / High Energy,Rihanna  - We Found Love ft. Calvin Harris.mp3
Stay The Night (Featuring Hayley Williams Of Paramore),Zedd feat. Hayley Williams,2018 August,4bT2zLVv2T4GiK9q9KtI0v,https://open.spotify.com/track/4bT2zLVv2T4GiK9q9KtI0v,96%,Gym / High Energy,Zedd feat. Hayley Williams - Stay The Night (Featuring Hayley Williams Of Paramore) [www.slider.kz].mp3
Tangled Vine (Jesse Javan Remix),[TRLF] Andreas Moe,2017 March,0NL2M63Em2rH5PD8idftkm,https://open.spotify.com/track/0NL2M63Em2rH5PD8idftkm,95%,Gym / High Energy,[TRLF] Andreas Moe - Tangled Vine (Jesse Javan Remix).mp3
Turn It Around (Original Mix),Alena,2016 December,1Y7ttvLqOOOC4cGnzKQL3J,https://open.spotify.com/track/1Y7ttvLqOOOC4cGnzKQL3J,95%,Gym / High Energy,Alena - Turn It Around (Original Mix).mp3
In Common (Jako Diaz Remix),Alicia Keys,2019 July,45gbor15xy5IXj2P5oXQNf,https://open.spotify.com/track/45gbor15xy5IXj2P5oXQNf,95%,Gym / High Energy,Alicia Keys - In Common (Jako Diaz Remix) [www.slider.kz].mp3
