Track name,Artist name,Album name,Spotify ID,Spotify URL,Taste Match,Mood,Local Filename
Jai Ho! (You Are My Destiny),"A.R. Rahman, The Pussycat Dolls feat. Nicole Scherzinger",2018 August,7Kpqjspw4Y7HrvItIRcBiW,https://open.spotify.com/track/7Kpqjspw4Y7HrvItIRcBiW,96%,Desi Soul & Sufi,"A.R. Rahman, The Pussycat Dolls feat. Nicole Scherzinger - Jai Ho! (You Are My Destiny) [www.slider.kz].mp3"
Saade Dil Te Chhuriyan Chaliyan,Daler Mehndi,2020 October,4MmlE62E59WSZtH90Kbu5C,https://open.spotify.com/track/4MmlE62E59WSZtH90Kbu5C,96%,Desi Soul & Sufi,Daler Mehndi - Saade Dil Te Chhuriyan Chaliyan.mp3
Jubin Nautiyal - Palak Muchhal,Kaabil Hoon,2017 November,7ihzht5YbmiyJXhnhQCHWR,https://open.spotify.com/track/7ihzht5YbmiyJXhnhQCHWR,96%,Desi Soul & Sufi,Kaabil Hoon (320 Kbps) - Jubin Nautiyal - Palak Muchhal.mp3
Tauba Tauba,Kailash Kher,2020 October,5nLnhHK9MUN7rhrFZNvnJe,https://open.spotify.com/track/5nLnhHK9MUN7rhrFZNvnJe,96%,Desi Soul & Sufi,Kailash Kher - Tauba Tauba.mp3
Arjit Singh - Neha Kakkar,Main Tera Boyfriend,2017 November,0bElUnqWc9qri7bCIPG5eZ,https://open.spotify.com/track/0bElUnqWc9qri7bCIPG5eZ,96%,Desi Soul & Sufi,Main Tera Boyfriend @ IndiaMp3.Com - Arjit Singh - Neha Kakkar.mp3
Ahista,Pankaj Udhas,2020 October,3GIxNehfNB1vsDCTWBoGiU,https://open.spotify.com/track/3GIxNehfNB1vsDCTWBoGiU,96%,Desi Soul & Sufi,Pankaj Udhas - Ahista.mp3
Arijit Singh - Shashaa Tirupati,Phir Bhi Tumko Chaahunga,2017 November,2SVwrS1emTCTQG5k42361f,https://open.spotify.com/track/2SVwrS1emTCTQG5k42361f,96%,Desi Soul & Sufi,Phir Bhi Tumko Chaahunga (128 Kbps) - Arijit Singh - Shashaa Tirupati.mp3
Tu Jo Nahi To,Ahmed Jahanzeb,Desi,,,89%,Desi Soul & Sufi,(Song) - Tu Jo Nahi  To - {Ahmed Jahanzeb}.mp3
Love Aaj Kal .flv,Ajj Din Chadheya,Desi,,,89%,Desi Soul & Sufi,Ajj Din Chadheya - Love Aaj Kal 1080p.flv.mp3
Pakistani song,Akhiyan By Fuzon,Desi,,,89%,Desi Soul & Sufi,Akhiyan By  Fuzon - Pakistani song.mp3
Maula,Ali Azmat,Desi,,,89%,Desi Soul & Sufi,Ali Azmat - Maula  .mp3
Maula Mere Maula Aankhein Teri Kitni Haseen Ke Inka Aashique - RoopKumar Rathod,Anwar,Desi,,,89%,Desi Soul & Sufi,Anwar - Maula Mere Maula Aankhein Teri Kitni Haseen Ke Inka Aashique - RoopKumar Rathod.mp3
Rang De Basanti (2006) - Movie Song,Apni Toh Paathshala,Desi,,,89%,Desi Soul & Sufi,Apni Toh Paathshala - Rang De Basanti (2006) - Movie Song.mp3
Jugni,Arif Lohar & Harshdeep Kaur,Desi,,,89%,Desi Soul & Sufi,Arif Lohar & Harshdeep Kaur - Jugni  .mp3
Aankhon Mein Tera Hi Chehra,Aryans,Desi,,,89%,Desi Soul & Sufi,Aryans - Aankhon Mein Tera Hi Chehra.mp3
aaja nachle,Bally Sagoo,Desi,,,89%,Desi Soul & Sufi,aaja nachle bally sagoo.mp3
marjani HD kharian mohri sharif,billo barber,Desi,,,89%,Desi Soul & Sufi,marjani HD {billo barber} kharian mohri sharif.mp3
Kya Soorat Hai,BOMBAY VIKINGS,Desi,,,89%,Desi Soul & Sufi,BOMBAY VIKINGS - Kya Soorat Hai.mp3
Tere Mast Mast Do Nain,Dabangg,Desi,,,89%,Desi Soul & Sufi,Dabangg - Tere Mast Mast Do Nain.mp3
NUSRAT FATEH ALI KHAN.flv,DAM MAST QLANDAR MAST MAST,Desi,,,89%,Desi Soul & Sufi,DAM MAST QLANDAR MAST MAST-NUSRAT FATEH ALI KHAN.flv.mp3
Bhaag DK Bose - Extended Version (4mins) - Utvsongs,Delhi Belly,Desi,,,89%,Desi Soul & Sufi,Delhi Belly - Bhaag DK Bose - Extended Version (4mins) HD - Utvsongs.mp3
Waqt,Entity Paradigm (E.P.),Root,,,89%,Desi Soul & Sufi,E.P. Waqt.mp3
Ghajini,Guzarish,Desi,,,89%,Desi Soul & Sufi,Guzarish - Ghajini ( HD ).mp3
VIKAS BHALLA,"Hai Dhaun Hai Dhuan ,Har Taraf Hai Dhuan ,Do Jawan Dilon Keh Wadon Ka Hai Dhuan",Desi,,,89%,Desi Soul & Sufi,"Hai Dhaun Hai Dhuan ,Har Taraf Hai Dhuan ,Do Jawan Dilon Keh Wadon Ka Hai Dhuan -VIKAS BHALLA..mp3"
Aadat,JAL,Desi,,,89%,Desi Soul & Sufi,JAL - Aadat.mp3
Ik Din Aayega,Jal,Desi,,,89%,Desi Soul & Sufi,Jal - Ik Din Aayega.mp3
Jine Mera Dil Luteya,Jazzy B,Root,,,89%,Desi Soul & Sufi,Jazzy B - Jine Mera Dil Luteya HQ.mp3
Na Tu Aaegi,Junaid Jamshed,Desi,,,89%,Desi Soul & Sufi,Na Tu Aaegi by Junaid Jamshed HQ.mp3
Ahmed Jahanzeb,Kaho Ek Din,Desi,,,89%,Desi Soul & Sufi,Kaho Ek Din - Ahmed Jahanzeb.mp3
Amar Arshi - Badshah - Neha Kakkar,Kala Chashma,2017 November,,,89%,Desi Soul & Sufi,Kala Chashma (320 Kbps) - Amar Arshi - Badshah - Neha Kakkar.mp3
Rahat Fateh Ali Khan - Jiya Dharak Dharak Jaye (Indian Movie Song),Kalyug,Desi,,,89%,Desi Soul & Sufi,Kalyug - Rahat Fateh Ali Khan - Jiya Dharak Dharak Jaye (Indian Movie Song).mp3
Agay hi agay,Karavan,Desi,,,89%,Desi Soul & Sufi,Agay hi agay by Karavan.mp3
Race,Katrina Kaif _ Saif Ali Khan in Sexy Lady,Desi,,,89%,Desi Soul & Sufi,Katrina Kaif _ Saif Ali Khan in Sexy Lady - Race.mp3
O Sanam,Lucky Ali,Desi,,,89%,Desi Soul & Sufi,Lucky Ali O Sanam.mp3
Remix Nusrat Fateh Ali Khan Feat.A1MelodyMaster,Mere Rashke Qamar,2017 December,,,89%,Desi Soul & Sufi,Mere Rashke Qamar-Remix Nusrat Fateh Ali Khan Feat.A1MelodyMaster.mp3
Prabhu Deva From Kadhalan,Mukkala,Desi,,,89%,Desi Soul & Sufi,Mukkala - Prabhu Deva From Kadhalan.mp3
Kariye Pyar Diyan Galan,Nazia Hasan,Desi,,,89%,Desi Soul & Sufi,Nazia Hasan - Kariye Pyar Diyan Galan.mp3
Rahat Fateh Ali Khan - YouTube,O Re Piya,Desi,,,89%,Desi Soul & Sufi,O Re Piya - Rahat Fateh Ali Khan      - YouTube.mp3
Maeri,Palash Sen,2020 October,,,89%,Desi Soul & Sufi,Palash Sen - Maeri.mp3
Jo Jeeta Wohi Sikander (1992),Pehla Nasha,Desi,,,89%,Desi Soul & Sufi,Pehla Nasha - Jo Jeeta Wohi Sikander (1992).mp3
Nelly Furtado with Josh,Powerless(Remix),Desi,,,89%,Desi Soul & Sufi,Powerless(Remix) - Nelly Furtado with Josh.mp3
Billy Jean Remix (Tigerstyle - Nachna Onda Ni),Punjabi Mc,Desi,,,89%,Desi Soul & Sufi,Punjabi Mc - Billy Jean Remix (Tigerstyle - Nachna Onda Ni).mp3
