Track name,Artist name,Album name,Spotify ID,Spotify URL,Taste Match,Mood,Local Filename
Intro,The XX,2018 September,2usrT8QIbIk9y0NEtQwS4j,https://open.spotify.com/track/2usrT8QIbIk9y0NEtQwS4j,94%,Buddha Bar Lounge,The XX - Intro  [www.slider.kz].mp3
river-flows-in-you,Yiruma,2016 November,2agBDIr9MYDUducQPC1sFU,https://open.spotify.com/track/2agBDIr9MYDUducQPC1sFU,94%,Buddha Bar Lounge,yiruma-river-flows-in-you[mp3freex].mp3
Take Me Inside,Afterlife Ft Dannii Minogue,Root,,,87%,Buddha Bar Lounge,05 - Afterlife Ft Dannii Minogue - Take Me Inside.mp3
An Indian Summer,Al-Pha-X,Root,,,87%,Buddha Bar Lounge,04 - Al-Pha-X- An Indian Summer.mp3
California Sunrise,Blank & Jones,Root,,,87%,Buddha Bar Lounge,Blank & Jones - California Sunrise.mp3
Feel the sunshine,Blank & Jones,Root,,,87%,Buddha Bar Lounge,Blank & Jones - Feel the sunshine.mp3
I love you (late night mix),Blank & Jones,Root,,,87%,Buddha Bar Lounge,Blank & Jones - I love you (late night mix).mp3
Dunia,Bliss,Root,,,87%,Buddha Bar Lounge,Bliss-Dunia.mp3
Moby,Bodyrock,Root,,,87%,Buddha Bar Lounge,Bodyrock - Moby.mp3
Flirting Shadows by Hasan Cihat Orter,Buddha-Bar III,Root,,,87%,Buddha Bar Lounge,Buddha-Bar III - Flirting Shadows by Hasan Cihat Orter.mp3
Desire mp3,Deepak Chopra feat. Demi Moore,Root,,,87%,Buddha Bar Lounge,Deepak Chopra feat. Demi Moore - Desire mp3.MP3
Thank you,Dido,Root,,,87%,Buddha Bar Lounge,Dido - Thank you.mp3
White Flag - EMG,Dido,Root,,,87%,Buddha Bar Lounge,01 - Dido - White Flag - EMG - www.elitemusic.es.vg.mp3
Bonjour,French Lounge Music- Lemongrass,Root,,,87%,Buddha Bar Lounge,French Lounge Music-  Lemongrass - Bonjour.mp3
Kalmyk Dance,Halimag,Root,,,87%,Buddha Bar Lounge,Halimag  Kalmyk dance (16).mp3
