Track name,Artist name,Album name,Spotify ID,Spotify URL,Taste Match,Mood,Local Filename
Nazali Mabe,4th Dimension,2017 March,36g0zON7pp2QPYFRLeDd8t,https://open.spotify.com/track/36g0zON7pp2QPYFRLeDd8t,94%,Retro Dance & Pop-Rock,4th Dimension - Nazali Mabe.mp3
Beyond The Moon,A.M.R & Ai Takekawa,2018 December,58XmNUTCCPqzFNAD78qoQ6,https://open.spotify.com/track/58XmNUTCCPqzFNAD78qoQ6,94%,Retro Dance & Pop-Rock,A.M.R & Ai Takekawa - Beyond The Moon  [www.slider.kz].mp3
My Own Little World,Afterglow,2020 July,48iE8wisGgWv58z7ovsmw4,https://open.spotify.com/track/48iE8wisGgWv58z7ovsmw4,94%,Retro Dance & Pop-Rock,Afterglow - My Own Little World.mp3
Without You,Air Supply,2020 July,5YoH2S74oJCyot9CW6Fy1T,https://open.spotify.com/track/5YoH2S74oJCyot9CW6Fy1T,94%,Retro Dance & Pop-Rock,Air Supply - Without You.mp3
Pianissimo (Original),Alfred Azzetto Feat. Vincent Valler,2019 April,3GMdaSzCZs1q8PVqPGJOtF,https://open.spotify.com/track/3GMdaSzCZs1q8PVqPGJOtF,94%,Retro Dance & Pop-Rock,Alfred Azzetto Feat. Vincent Valler - Pianissimo (Original) [www.slider.kz].mp3
Until You Come Back to Me (That's What I Am Going to Do),Aretha Franklin,2020 July,2LpZH5SMNIyNLU31eJ0kWu,https://open.spotify.com/track/2LpZH5SMNIyNLU31eJ0kWu,94%,Retro Dance & Pop-Rock,Aretha Franklin - Until You Come Back to Me (That's What I Am Going to Do).mp3
One Week,Barenaked Ladies,2020 July,6R2QkjqfhsQhn3MsTYvMEz,https://open.spotify.com/track/6R2QkjqfhsQhn3MsTYvMEz,94%,Retro Dance & Pop-Rock,Barenaked Ladies - One Week.mp3
Sleep Alone,Ben Phipps ft. Ashe,2017 March,5wle96dAvXwXdbxeJHAVXZ,https://open.spotify.com/track/5wle96dAvXwXdbxeJHAVXZ,94%,Retro Dance & Pop-Rock,Ben Phipps ft. Ashe - Sleep Alone.mp3
Time to Say Goodbye (Single Version),Bettye Swann,2020 July,11qnPywHp7HBczPnoO8L5s,https://open.spotify.com/track/11qnPywHp7HBczPnoO8L5s,94%,Retro Dance & Pop-Rock,Bettye Swann - Time to Say Goodbye (Single Version).mp3
Beautiful Liar,Beyoncé & Shakira,2018 September,76Y07hjDi7fjJnZKsQbEaF,https://open.spotify.com/track/76Y07hjDi7fjJnZKsQbEaF,94%,Retro Dance & Pop-Rock,10 - Beyoncé & Shakira - Beautiful Liar.mp3
bad guy,Billie Eilish,2019 July,2Fxmhks0bxGSBdJ92vM42m,https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m,94%,Retro Dance & Pop-Rock,Billie Eilish - bad guy [www.slider.kz].mp3
